date-time,load (kW)
7/6/14 0:00,183.6
7/6/14 0:15,182.4
7/6/14 0:30,181.2
7/6/14 0:45,176.4
7/6/14 1:00,175.2
7/6/14 1:15,174
7/6/14 1:30,177.6
7/6/14 1:45,169.2
7/6/14 2:00,163.2
7/6/14 2:15,166.8
7/6/14 2:30,165.6
7/6/14 2:45,172.8
7/6/14 3:00,165.6
7/6/14 3:15,165.6
7/6/14 3:30,160.8
7/6/14 3:45,166.8
7/6/14 4:00,166.8
7/6/14 4:15,158.4
7/6/14 4:30,159.6
7/6/14 4:45,163.2
7/6/14 5:00,164.4
7/6/14 5:15,162
7/6/14 5:30,159.6
7/6/14 5:45,152.4
7/6/14 6:00,159.6
7/6/14 6:15,157.2
7/6/14 6:30,159.6
7/6/14 6:45,164.4
7/6/14 7:00,178.8
7/6/14 7:15,183.6
7/6/14 7:30,183.6
7/6/14 7:45,186
7/6/14 8:00,190.8
7/6/14 8:15,193.2
7/6/14 8:30,198
7/6/14 8:45,196.8
7/6/14 9:00,127.2
7/6/14 9:15,183.6
7/6/14 9:30,211.2
7/6/14 9:45,208.8
7/6/14 10:00,214.8
7/6/14 10:15,205.2
7/6/14 10:30,210
7/6/14 10:45,211.2
7/6/14 11:00,217.2
7/6/14 11:15,206.4
7/6/14 11:30,212.4
7/6/14 11:45,213.6
7/6/14 12:00,218.4
7/6/14 12:15,217.2
7/6/14 12:30,211.2
7/6/14 12:45,210
7/6/14 13:00,205.2
7/6/14 13:15,208.8
7/6/14 13:30,204
7/6/14 13:45,212.4
7/6/14 14:00,211.2
7/6/14 14:15,214.8
7/6/14 14:30,219.6
7/6/14 14:45,217.2
7/6/14 15:00,210
7/6/14 15:15,214.8
7/6/14 15:30,217.2
7/6/14 15:45,213.6
7/6/14 16:00,212.4
7/6/14 16:15,218.4
7/6/14 16:30,217.2
7/6/14 16:45,220.8
7/6/14 17:00,210
7/6/14 17:15,219.6
7/6/14 17:30,214.8
7/6/14 17:45,204
7/6/14 18:00,212.4
7/6/14 18:15,213.6
7/6/14 18:30,217.2
7/6/14 18:45,211.2
7/6/14 19:00,224.4
7/6/14 19:15,223.2
7/6/14 19:30,223.2
7/6/14 19:45,222
7/6/14 20:00,223.2
7/6/14 20:15,226.8
7/6/14 20:30,225.6
7/6/14 20:45,222
7/6/14 21:00,216
7/6/14 21:15,216
7/6/14 21:30,216
7/6/14 21:45,216
7/6/14 22:00,213.6
7/6/14 22:15,216
7/6/14 22:30,210
7/6/14 22:45,207.6
7/6/14 23:00,188.4
7/6/14 23:15,187.2
7/6/14 23:30,182.4
7/6/14 23:45,182.4
7/7/14 0:00,181.2
7/7/14 0:15,182.4
7/7/14 0:30,180
7/7/14 0:45,178.8
7/7/14 1:00,174
7/7/14 1:15,174
7/7/14 1:30,171.6
7/7/14 1:45,170.4
7/7/14 2:00,168
7/7/14 2:15,165.6
7/7/14 2:30,170.4
7/7/14 2:45,170.4
7/7/14 3:00,160.8
7/7/14 3:15,160.8
7/7/14 3:30,165.6
7/7/14 3:45,152.4
7/7/14 4:00,150
7/7/14 4:15,150
7/7/14 4:30,153.6
7/7/14 4:45,152.4
7/7/14 5:00,156
7/7/14 5:15,159.6
7/7/14 5:30,156
7/7/14 5:45,150
7/7/14 6:00,152.4
7/7/14 6:15,151.2
7/7/14 6:30,165.6
7/7/14 6:45,176.4
7/7/14 7:00,176.4
7/7/14 7:15,177.6
7/7/14 7:30,182.4
7/7/14 7:45,190.8
7/7/14 8:00,177.6
7/7/14 8:15,180
7/7/14 8:30,184.8
7/7/14 8:45,174
7/7/14 9:00,184.8
7/7/14 9:15,177.6
7/7/14 9:30,181.2
7/7/14 9:45,194.4
7/7/14 10:00,194.4
7/7/14 10:15,194.4
7/7/14 10:30,199.2
7/7/14 10:45,201.6
7/7/14 11:00,204
7/7/14 11:15,210
7/7/14 11:30,201.6
7/7/14 11:45,192
7/7/14 12:00,204
7/7/14 12:15,202.8
7/7/14 12:30,194.4
7/7/14 12:45,195.6
7/7/14 13:00,194.4
7/7/14 13:15,200.4
7/7/14 13:30,189.6
7/7/14 13:45,204
7/7/14 14:00,206.4
7/7/14 14:15,206.4
7/7/14 14:30,204
7/7/14 14:45,204
7/7/14 15:00,198
7/7/14 15:15,201.6
7/7/14 15:30,204
7/7/14 15:45,201.6
7/7/14 16:00,204
7/7/14 16:15,210
7/7/14 16:30,205.2
7/7/14 16:45,193.2
7/7/14 17:00,193.2
7/7/14 17:15,193.2
7/7/14 17:30,186
7/7/14 17:45,189.6
7/7/14 18:00,202.8
7/7/14 18:15,194.4
7/7/14 18:30,205.2
7/7/14 18:45,200.4
7/7/14 19:00,204
7/7/14 19:15,202.8
7/7/14 19:30,202.8
7/7/14 19:45,198
7/7/14 20:00,189.6
7/7/14 20:15,189.6
7/7/14 20:30,188.4
7/7/14 20:45,189.6
7/7/14 21:00,198
7/7/14 21:15,199.2
7/7/14 21:30,193.2
7/7/14 21:45,194.4
7/7/14 22:00,188.4
7/7/14 22:15,186
7/7/14 22:30,177.6
7/7/14 22:45,166.8
